id;river_full_name;river_dest;side;dest_from_end;length;watershed_area;ten_km_trib_amount;ten_km_trib_sum_len;lakes_amount;lakes_sum_area;table3_id
I. Бассейн р. Оби от впадения р. Алея до устья р. Томи;;;;;;;;;;;
4670;без названия;Лямин 3-й;(лв);29;11;;2;8;;;
4671;без названия;»;»;17;11;;1;3;;;
4672;Наным-Я;»;»;8;14;;—;—;;;
4673;без названия;Лямин;(пр);264;14;;15;39;;;
4674;Карпама;Лямин;(лв);243;15;;—;—;;;
4675;Юма-Ега;»;»;202;148;1210;6;14;;;
4676;Нима-Тума;Юма-Ега;(пр);42;75;376;6;17;;;
4677;Ют-Ега;»;»;13;27;;4;15;;;
4678;без названия;»;»;9;25;;1;3;;;
4679;без названия;Лямин;»;192;12;;14;32;;;
4680;Тотыма-Яун;»;(лв);184;92;429;9;29;;;
4681;без названия;»;(пр);177;11;;14;36;;;
4682;Рос-Ега;»;(лв);176;46;;4;12;;;
4683;без названия;»;»;157;16;;3;11;;;
4684;Ту-Яун;»;»;135;44;;1;9;;;
4685;Амку-Яга;»;»;110;47;;3;6;;;
4686;Корячи-Яун;Амку-Яга;»;1;15;;—;—;;;
4687;Санкен-Яун;Лямин;»;96;62;510;2;9;;;
4688;Тонтых-Яун;Санкен-Яун;»;3;48;;—;—;;;
4689;без названия;Тонтых-Яун;(пр);29;10;;1;4;;;
4690;Кедровая;Лямин;(лв);91;68;336;—;—;;;
4691;без названия;Кедровая;(пр);30;11;;—;—;;;
4692;Вут-Яун;»;(лв);28;11;;2;3;;;
4693;Тлянги-Яун;»;»;25;11;;2;2;;;
4694;Ягымен-Яун;Лямин;»;74;25;;2;6;;;
4695;Коутль-Игый;»;»;58;32;;3;13;;;
4696;без названия;Коутль-Игый;(пр);3;12;;—;—;;;
4697;без названия;Лямин;»;16;12;;—;—;;;
4698;протока Чиик;»;(лв);7;14;;;;;;
4699;Кантль-Яун;протока Чиик;(пр);8;66;556;2;16;;;
4700;без названия;Кантль-Яун;»;23;19;;—;—;;;
4701;без названия;Кантль-Яун;(пр);19;27;;—;—;;;
4702;без названия;»;(лв);14;12;;—;—;;;
4703;без названия;Обь;(пр);1366;16;;1;2;;;
4704;протока Юганская Обь;»;(лв);1353;195;;—;—;;;
4705;протока Коленковая;протока Юганская Обь;(лв);166;15;;—;—;;;
4706;Катесовский Еган;оз. Катесовский Сор;—;—;29;;3;8;;;
4707;без названия;Катесовский Еган;(лв);24;15;;—;—;;;
4708;без названия;»;»;1;14;;3;11;;;
4709;Путалинский Еган;оз. Катесовский Сор;—;—;25;;6;20;;;
4710;без названия;Путалинский Еган;(лв);15;10;;2;3;;;
4711;протока Покомас;протока Юганская Обь;(лв);149;19;;—;—;;;
4712;протока Покомас;»;»;137;14;;—;—;;;
4713;Бол. Юган;»;»;118;1063;34 700;115;539;7882;545;551
4714;Тормыт-Игый;Бол. Юган;»;1026;36;;25;72;;;
4715;без названия;Тормыт-Игый;(пр);24;15;;7;8;;;
4716;Нерым-Котым-Игль;Бол. Юган;(лв);987;12;;2;7;;;
4717;Бол. Лапын-Иыл;»;(пр);972;46;;49;15;;;
4718;Ем-Юх-Игль;Бол. Лапын-Иыл;»;8;10;;4;10;;;
4719;Энтль-Тур-Ях;Бол. Юган;»;952;34;;27;87;;;
4720;Тур-Ях;Энтль-Тур-Ях;»;20;10;;4;13;;;
4721;Ем-Юх-Игль;Бол. Юган;»;941;13;;1;9;;;
4722;Тлиптли-Игль;»;(лв);929;12;;1;1;;;
4723;Карым-Игль;»;»;863;18;;2;14;;;
4724;Локкум-Ягун (Керпеть-Муль);»;(пр);835;154;1040;31;137;;;
4725;Энтль-Леппым-Игль;Локкум-Ягун;(лв);133;14;;6;21;;;
4726;Лор-Игль;»;»;85;28;;7;15;;;
4727;Аккары;Бол. Юган;(лв);807;29;;2;4;;;
4728;Мекуль;»;»;799;37;;8;26;;;
4729;Ай-Мекуль;Мекуль ;»;9;16;;3;6;;;
4730;Коим-Лых;Бол. Юган;»;778;102;672;53;179;;;
4731;без названия;Коим-Лых ;»;83;12;;13;48;;;
4732;без названия;»;»;68;11;;11;30;;;
4733;без названия;»;(пр) ;52;12;;4;11;;;
4734;без названия;»;»;17;16;;3;10;;;
4735;Тоталым;Бол. Юган;(лв);761;74;593;32;138;;;
4736;Ай-Тоталым;Тоталым;(пр);52;14;;11;35;;;
4737;Яккун-Ях;Бол. Юган;(пр);711;97;902;14;54;;;
4738;Энтль-Пун-Игль;Яккун-Ях;»;73;18;;1;7;;;
4739;Ай-Пун-Игль;Энтль-Пун-Игль;(лв);8;12;;2;11;;;
4740;Воч-Ягун;Яккун-Ях;»;50;32;;5;23;;;
4741;Онги-Кум-Егарт;»;(пр);29;14;;4;17;;;
4742;Атин-Пеу;Бол. Юган;»;678;13;;2;5;;;
4743;Сугмутен-Ях;»;(лв);670;372;2060;40;137;;;
4744;Лянис-Игл;Сугмутен-Ях;»;350;11;;1;2;;;
4745;Камыл-Игл;»;(пр);349;24;;4;17;;;
4746;Бол. Густая Речка;»;»;115;15;;—;—;;;
4747;Верси-Ярт;»;»;83;23;;16;51;;;
4748;Мал. Верси-Ярт;»;»;80;16;;5;18;;;
4749;Нярым-Ярт;»;»;62;42;;15;66;;;
4750;без названия;Нярым-Ярт;»;31;12;;2;6;;;
4751;Сорым-Ярт;»;(лв);19;17;;7;29;;;
4752;без названия;Сорым-Ярт;(пр);7;10;;2;3;;;
4753;Васюм-Пеу;Бол. Юган;(лв);640;21;;3;5;;;
4754;Магромсы;»;(пр);619;59;564;13;42;;;
4755;без названия;Магромсы;(лв);39;18;;9;30;;;
4756;Ай-Магромсы;»;(пр);7;50;214;18;57;;;
4757;Ингли-Пеу;Бол. Юган;»;616;21;;3;4;;;
4758;Лооль-Ях;»;(лв);607;124;1100;27;166;;;
4759;Ихлып-Ярт;Лооль-Ях;»;92;13;;5;20;;;
4760;Густая Речка;»;»;85;16;;3;10;;;
4761;без названия;»;(пр);81;10;;2;6;;;
4762;без названия;»;»;76;11;;2;7;;;
4763;Ихый-Егарт;»;(лв);65;14;;6;5;;;
4764;Пулян-Игль;»;(пр);58;16;;11;35;;;
4765;Пулей-Игль;»;»;40;12;;4;12;;;
4766;Отюн-Игль;»;»;31;13;;10;32;;;
4767;Портын-Пеу;Бол. Юган;»;607;26;;9;24;;;
4768;Вашин-Пеу;»;(лв);596;22;;6;19;;;
4769;Еплен-Пеу;»;»;562;19;;3;8;;;
4770;Игвай-Ягум;»;(пр);538;48;;26;71;;;
4771;Ай-Куль-Пеу;»;(лв);532;34;;1;2;;;
4772;Епель-Петь-Ях;»;»;521;114;1300;54;203;;;
4773;Ай-Икмель-Юльх;Епель-Петь-Ях;(пр);93;12;;5;17;;;
4774;Икмель-Юльх;»;(лв);89;31;;12;35;;;
4775;без названия;»;(пр);79;15;;8;29;;;
4776;без названия;»;»;68;12;;1;2;;;
4777;без названия;»;»;54;11;;3;7;;;
4778;без названия;»;»;31;14;;3;8;;;
4779;без названия;»;»;18;12;;—;—;;;
4780;без названия;»;»;4;14;;—;—;;;
4781;Игол-Орт;Бол. Юган;(лв);491;52;268;26;79;;;
4782;без названия;Игол-Орт;»;39;10;;2;8;;;
4783;Сиген-Пеу;Бол. Юган;»;486;12;;4;9;;;
4784;Канци-Ях;Бол. Юган;(пр);467;38;;7;21;;;
4785;Полун-Ях;»;(лв);440;42;;18;67;;;
4786;Ай-Пулун-Ях;Полун-Ях;(пр);20;24;;16;38;;;
4787;Утер-Пеу;Бол. Юган;»;435;19;;—;—;;;
4788;Нюр-Пеу-Угут;»;(лв);421;24;;—;—;;;
4789;Ентль-Игль;»;»;400;38;;6;26;;;
4790;Киным-Урий;Бол. Юган;(пр);395;18;;—;—;;;
4791;Ентль-Курус-Ях;»;»;385;130;758;30;10;;;
4792;без названия;Ентль-Курус-Ях;»;92;12;;6;13;;;
4793;без названия;»;»;76;11;;5;13;;;
4794;без названия;»;»;68;21;;8;26;;;
4795;Кутюр-Су;Бол. Юган;(лв);382;20;;1;2;;;
4796;Ай-Курус-Ях;»;(пр);362;123;659;24;75;;;
4797;без названия;Ай-Курус-Ях;»;87;16;;5;13;;;
4798;без названия;»;(лв);68;12;;2;3;;;
4799;без названия;без названия №4798;»;1;11;;1;2;;;
4800;без названия;Ай-Курус-Ях;(пр);60;11;;4;7;;;
4801;Лар-Кыт;Бол. Юган;(лв);341;26;;3;6;;;
4802;Тлянты-Коим;»;(пр);325;24;;2;7;;;
4803;Кевру-Ягун;»;(лв);286;87;969;6;26;;;
4804;Янг-Игый;Кевру-Ягун;(пр);55;24;;—;—;;;
4805;Юрь-Игый;»;(лв);45;18;;6;25;;;
4806;без названия;»;(пр);27;10;;—;—;;;
4807;Тоталь;»;»;23;10;;2;10;;;
4808;Пуглы-Игль;»;»;15;71;434;4;21;;;
4809;Ай-Пуглы-Игль;Пуглы-Игль;(лв);12;25;;3;15;;;
4810;Липк-Ях;Бол. Юган;(пр);274;107;560;16;52;;;
4811;Ай-Липк-Ях;Липк-Ях;(лв);58;15;;5;21;;;
4812;Когу-Игый;Липк-Ях;(лв);25;21;;1;3;;;
4813;Нерым-Игый;Когу-Игый;»;1;12;;1;2;;;
4814;Вандрас;Бол. Юган;»;259;57;380;6;26;;;
4815;без названия;Вандрас;(пр);32;15;;3;5;;;
4816;Нюк-Сап;»;»;17;20;;6;22;;;
4817;Коим-Сап;Бол. Юган;»;253;15;;—;—;;;
4818;Нинку-Ун-Пеу;»;»;232;23;;5;12;;;
4819;Вачем-Пеу;»;»;226;35;;4;12;;;
4820;Негус-Ях;»;»;191;298;3100;54;219;;;
4821;Нарых;Негус-Ях;»;273;15;;5;10;;;
4822;Синк-Ях;»;(лв);267;34;;11;46;;;
4823;Ай-Синк-Ях;Синк-Ях;»;7;14;;4;9;;;
4824;Кун-Ях;Негус-Ях;(пр);251;24;;7;22;;;
4825;Лунк-Ях;»;(лв);228;55;436;37;126;;;
4826;Ай-Лунк-Ях;Лунк-Ях;»;14;26;;10;35;;;
4827;без названия;Негус-Ях;(пр);221;12;;7;21;;;
4828;Печпан-Ях;»;(лв);201;26;;10;39;;;
4829;Ай-Печпан-Ях;Печпан-Ях;»;21;14;;12;33;;;
4830;Посль-Игый;Негус-Ях;(пр);183;16;;5;15;;;
4831;Карты-Кат-Игый;»;(лв);176;14;;—;—;;;
4832;Люккум-Игый;Негус-Ях;(пр);171;16;;10;27;;;
4833;Нялин-Кис-Игый;»;(лв);142;23;;8;22;;;
4834;Катлин-Игый;»;»;109;26;;3;12;;;
4835;Путлун-Игый;»;»;84;40;;5;25;;;
4836;Лункун-Игый;»;»;64;30;;3;12;;;
4837;Ай-Пеу;»;»;49;17;;1;6;;;
4838;Энтль-Пеу;»;»;47;14;;1;5;;;
4839;Кулун-Игый;Бол. Юган;»;187;34;;—;—;;;
4840;Унтыг-Игый-Сап;Кулун-Игый;»;32;16;;1;2;;;
4841;Куйми;Кулун-Игый;(лв);16;15;;—;—;;;
4842;Угутка;Бол. Юган;(пр);168;42;;5;18;;;
4843;Сухая;»;(лв);165;25;;—;—;;;
4844;Ванкыр-Ягун;»;»;160;28;;3;11;;;
4845;Пугол-Ягун;»;»;121;52;252;9;39;;;
4846;Мал. Юган;»;(пр);121;521;10 200;35;178;;;
4847;Медвежья;Мал. Юган;»;493;20;;3;9;;;552
4848;Лором-Ягу;»;»;449;45;;15;48;;;
4849;Петь-Яун;»;(лв);447;31;;3;11;;;
4850;без названия;Петь-Яун;(пр);13;12;;—;—;;;
4851;Тляком-Коим-Ягун;Мал. Юган;(лв);441;29;;5;19;;;
4852;без названия;Тляком-Коим-Ягун;»;16;13;;2;6;;;
4853;Ай-Тляком-Коим-Ягун;»;(пр);9;23;;7;28;;;
4854;Кол-Кочен-Ягун;Мал. Юган;(лв);407;107;1440;19;75;;;
4855;Таур-Игль;Кол-Кочен-Ягун;(пр);80;15;;4;21;;;
4856;Ай-Таур-Игль;»;»;68;17;;1;2;;;
4857;Лор-Кай-Ягун;»;(лв);63;37;;10;43;;;
4858;без названия;Лор-Кай-Ягун;(пр);12;14;;2;10;;;
4859;Сарт-Игль;Кол-Кочен-Ягун;»;48;19;;6;21;;;
4860;Кары-Ягун;»;»;41;23;;2;10;;;
4861;без названия;»;(лв);29;12;;3;11;;;
4862;Кутым-Игай;Мал. Юган;(пр);394;27;;2;11;;;
4863;Урий-Пегу;»;(лв);393;15;;3;6;;;
4864;Кутты-Лор-Игай;»;»;367;38;;19;56;;;
4865;Керпеть-Яун;Мал. Юган;(пр);353;57;609;18;89;;;
4866;без названия;Керпеть-Яун;»;14;12;;4;12;;;
4867;Ай-Мааль-Ях;Мал. Юган;(лв);336;32;;7;24;;;
4868;без названия;Ай-Мааль-Ях;»;22;11;;4;17;;;
4869;Кагнып;Мал. Юган;(пр);336;16;;1;1;;;
4870;Лярыкни;Мал. Юган;(лв);316;34;;1;3;;;
4871;Пулый-Игай;»;(пр);298;20;;7;21;;;
4872;Вансор-Игай;»;(лв);280;45;;4;20;;;
4873;Хомыс-Игай;»;(пр);257;11;;5;23;;;
4874;Вуя-Яны;»;(лв);252;113;1170;18;63;;;
4875;без названия;Вуя-Яны;»;87;11;;5;13;;;
4876;без названия;»;»;71;13;;4;15;;;
4877;без названия;»;»;69;10;;5;12;;;
4878;Ай-Вуя-Яны;»;(пр);62;44;;22;88;;;
4879;Кутык-Игль;»;(лв);44;18;;1;2;;;
4880;без названия;»;»;25;12;;—;—;;;
4881;Лор-Кай-Ягун;»;(пр);16;15;;—;—;;;
4882;Инг-Игый;Мал. Юган;(лв);236;30;;6;17;;;
4883;Ай-Инг-Игый;Инг-Игый;(пр);18;14;;1;2;;;
4884;без названия;Мал. Юган;(лв);225;14;;—;—;;;
4885;Коим-Игый;»;»;210;24;;6;26;;;
4886;Мугут-Той-Игый;Коим-Игый;(пр);6;19;;5;13;;;
4887;Сава-Ильпа;Мал. Юган;»;194;14;;3;8;;;
4888;Ай-Сава-Ильпа;Сава-Ильпа;»;2;10;;3;9;;;
4889;Тугалып-Сап;Мал. Юган;(лв);179;20;;4;18;;;
4890;Тльтль-Игый;»;»;141;30;;9;39;;;
4891;без названия;Тльтль-Игый;»;2;18;;2;9;;;
4892;без названия;Мал. Юган;»;112;12;;5;8;;;
4893;Сакын-Яха;»;(пр);77;87;834;26;109;;;
4894;Сурь-Яха;Сакын-Яха;(лв);39;53;297;6;31;;;
4895;без названия;Мал. Юган;»;54;11;;—;—;;;
4896;Тынкиль-Ях;»;(пр);12;123;748;37;141;;;
4897;Енорд;Бол. Юган;»;84;18;;2;6;;;
4898;Лартель;Бол. Юган;(пр);73;26;;3;16;;;
4899;протока Курты-Инг;»;(лв);71;26;;—;—;;;
4900;Согор-Ягун;Протока Курты-Инг;»;19;71;521;9;50;;;
4901;Ай-Согор-Ягун;Согор-Ягун;»;31;32;;5;17;;;
4902;без названия;»;»;3;11;;—;—;;;
4903;протока Сатваруль;Бол. Юган;(пр);58;3;;—;—;;;
4904;Почегай;протока Сатваруль;»;1;19;;2;8;;;
4905;протока Сигней;Бол. Юган;»;54;30;;—;—;;;
4906;Ик-Ях;»;(лв);32;34;;6;17;;;
4907;протока Сырой Аган;протока Юганская Обь;(пр);108;37;;—;—;;;
4908;протока Окопас;»;»;90;30;;—;—;;;
4909;Бол. Балык;»;(лв);2;243;5950;48;171;1060;89.6;
4910;Метль-Мех-Игль;Бол. Балык;»;208;15;;13;47;;;
4911;Лульх-Ях;»;»;192;27;;21;72;;;
4912;Энтль-Энка-Игль;»;(пр);130;17;;9;27;;;
4913;Коон-Ях;»;(лв);130;62;474;20;61;;;
4914;Ик-Игль;Коон-Ях;»;30;14;;8;27;;;
4915;Энтль-Игый;»;»;28;18;;9;27;;;
4916;Ай-Яун;Бол. Балык;»;100;36;;20;87;;;
4917;Парки;Ай-Яун;(пр);10;22;;2;6;;;
4918;Пыть-Ях;Бол. Балык;(лв);63;50;340;25;85;;;
4919;Пучип-Игый;»;(пр);50;38;;11;47;;;
4920;Бол. Карь-Еган;»;»;45;41;;8;23;;;
4921;Мал. Балык;»;(лв);35;204;2520;43;150;;;
4922;без названия;Мал. Балык;(пр);191;10;;4;8;;;
4923;без названия;»;(лв);186;14;;6;21;;;
4924;Кетм-Игый;Мал. Балык;(пр);166;20;;9;26;;;
4925;Куть-Ях;Мал. Балык;(лв);142;29;;9;33;;;
4926;Чёпырь-Ега;Куть-Ях;»;7;13;;5;19;;;
4927;Нимтур-Ега;Мал. Балык;»;140;14;;5;21;;;
4928;без названия;Мал. Балык;(пр);137;20;;10;27;;;
4929;Сугмутын-Ях;»;(лв);122;14;;4;17;;;
4930;Суйка;»;(пр);105;10;;7;21;;;
4931;Ляркина;»;(лв);75;24;;—;—;;;
4932;Устинкина;»;»;67;33;;1;1;;;
4933;Тепла;»;»;55;43;;2;9;;;
4934;Чеплынг-Ега;Тепла;(пр);34;16;;1;3;;;
4935;Мал. Тепла;»;»;16;15;;3;8;;;
4936;протока Очимкина (Лакым-Пасл);Бол. Балык;»;21;72;;—;—;;;
4937;протока Энтль-Кусан;протока Очимкина;(лв);43;29;;—;—;;;
4938;Сортым-Еган;»;»;39;30;;14;42;;;
4939;без названия;Сортым-Еган;»;10;10;;1;3;;;
4940;протока Тангинская;протока Очимкина;(пр);28;26;;—;—;;;
4941;протока Омби-Пасл;протока Тангинская;(лв);9;32;;—;—;;;
4942;протока Мэхгун-Тох-Пасл;протока Омби-Пасл;»;30;13;;—;—;;;
4943;протока Глянки-Покты-Пасл;»;;1;10;;—;—;;;
4944;протока Катымьяс (Сухой Балык);протока Юганская Обь ;(лв);81;17;;—;—;;;
4945;протока Захаркина;протока Катымьяс;»;10;20;;—;—;;;
4946;протока Сангапайская;протока Юганская Обь ;(пр);74;24;;—;—;;;
4947;протока Сырой Аган;протока Сангапайская ;(лв);22;37;;—;—;;;
4948;протока Окопас;протока Сырой Аган;»;29;30;;—;—;;;
4949;протока Чеускина;протока Сангапайская ;(пр);3;29;;—;—;;;
4950;протока Вачемпас;протока Юганская Обь ;(пр);41;18;;—;—;;;
4951;протока Коим;протока Вачемпас;(пр);9;50;;—;—;;;
4952;протока Омулька;Обь;»;1331;8;;—;—;;;
4953;протока Сытоминка;»;»;1322;26;;—;—;;;
4954;Большая;протока Сытоминка;»;5;29;;1;2;;;
4955;Ершова;Большая;»;14;12;;—;—;;;
4956;без названия;»;(лв);7;12;;—;—;;;
4957;Тугаскинская;»;(пр);5;10;;1;4;;;
4958;протока Лабаскова;Обь;»;1280;33;;—;—;;;
4959;Сахалинская;протока Лабаскова;»;29;79;508;9;39;;;
4960;без названия;Сахалинская;»;17;12;;3;12;;;
4961;Мыть-Ега;протока Лабаскова;»;23;20;;2;6;;;
4962;без названия;Мыть-Ега;(лв);14;14;;1;2;;;
4963;протока Березовая;Обь;»;1273;18;;—;—;;;
4964;протока Черная;протока Березовая;»;16;13;;—;—;;;
4965;протока Бол. Салымская;Обь;»;1262;63;;—;—;;;
4966;Бол. Салым;протока Бол. Салымская ;(лв);35;583;18100;70;305;6539;508;553
4967;без названия;Бол. Салым;»;561;11;;3;11;;;
4968;Вулуир-Егарт;»;»;538;11;;2;10;;;
4969;Кыус-Ях;»;»;523;10;;3;8;;;
4970;Телот;»;(пр);504;15;;2;7;;;
4971;без названия;»;(лв);467;13;;3;16;;;
4972;Полым-Ега;»;»;442;15;;1;8;;;
4973;Чупал;»;(пр);423;23;;1;2;;;
4974;Тапат-Ега;»;»;414;82;650;14;72;;;
4975;Тупси;Тапат-Ега;»;43;16;;2;5;;;
4976;Ай-Енён-Ега;Бол. Салым;(лв);403;16;;1;4;;;
4977;Куим-Ега;»;(пр);385;34;;5;32;;;
4978;Сивыс-Ях;»;»;348;39;;9;40;;;
4979;Тар-Сап ;Бол. Салым;(лв);333;30;3140;6;27;;;
4980;Тукан;оз. Соровское;»;59;216;2510;40;143;;;
4981;Тлянкин-Игый;Тукан;»;201;16;;3;9;;;
4982;без названия;»;»;189;12;;6;20;;;
4983;без названия;»;»;183;12;;1;2;;;
4984;без названия;Тукан;(лв);159;14;;—;—;;;
4985;Вель-Игль;»;(пр);140;30;;10;26;;;
4986;без названия;Вель-Игль;»;14;12;;2;7;;;
4987;Тарт-Ега;Тукан;»;112;27;;5;10;;;
4988;без названия;»;»;76;22;;1;3;;;
4989;без названия;без названия №4988;»;5;12;;1;4;;;
4990;без названия;Тукан;»;72;16;;—;—;;;
4991;Чепырь-Ега;»;»;57;68;690;2;11;;;
4992;Чепырь-Ега;Чепырь-Ега;»;40;16;;6;27;;;
4993;Тепор-Ега;»;»;12;38;;—;—;;;
4994;Березовая;оз. Соровское;»;—;50;417;9;40;;;
4995;Бол. Юрь-Ега;Березовая;(лв);4;13;;1;3;;;
4996;Вандрас;Бол. Салым;»;324;113;1760;24;83;;;
4997;Невдар-Ега;Вандрас;»;75;33;;5;11;;;
4998;Лев;»;(пр);21;77;949;15;54;;;
4999;Чагорова;Лев;»;53;10;;1;3;;;
5000;без названия;»;(лв);38;10;;3;10;;;
5001;Самсоновская;»;(пр);30;74;546;7;27;;;
5002;Навыем;Самсоновская;(лв);51;10;;1;2;;;
5003;Эне-Огыт;Бол. Салым;»;282;17;;3;18;;;
5004;Карпынг-Ега;»;(пр);280;39;;18;59;;;
5005;Пыв-Ях;»;(лв);268;96;912;11;32;;;
5005;без названия;Пыв-Ях;»;90;13;;4;10;;;
5007;Энтль-Шиш;»;»;74;15;;7;19;;;
5008;Ай-Шиш;Пыв-Ях;(лв);69;12;;7;20;;;
5009;Тыут-Ях;»;»;57;10;;3;10;;;
5010;Кинч-Ях;»;»;53;12;;4;9;;;
5011;Таут-Ега;»;»;37;15;;5;16;;;
5012;Бол. Термоть-Ега;»;(пр);23;21;;3;8;;;
5013;Ведедып-Хур;Бол. Термоть-Ега;(лв);7;14;;—;—;;;
5014;Нивыр-Ега;Бол. Салым;»;250;12;;1;5;;;
5015;Шунш-Ега;»;(пр);237;13;;—;—;;;
5016;Маклак;»;(лв);220;23;;2;6;;;
5017;Бол. Карен;»;(пр);198;49;;2;9;;;
5018;Мал. Карен;Бол. Карен;»;3;19;;12;42;;;
5019;Вонт-Ях;Бол. Салым;»;174;13;;3;14;;;
5020;Ягум-Ях;»;»;156;20;;5;19;;;
5021;Вачи-Ях;»;(лв);145;27;;1;3;;;
5022;Юшь-Ега;»;(пр);136;28;;2;3;;;
5023;Таут-Ях;»;(лв);134;82;758;17;54;;;
5024;Нер-Ега;Таут-Ях;»;72;11;;5;15;;;
5025;Тянк-Лис-Ега;»;»;63;16;;14;32;;;
5026;Сыгыс-Ях;»;»;47;12;;3;6;;;
5027;Сулкан-Ега;»;»;31;17;;2;4;;;
5028;Кам-Ега;»;(пр);15;49;;5;27;;;
5029;Тарынг-Ега;Бол. Салым;(лв);113;22;;1;5;;;
5030;Тыв-Ега;»;»;80;39;;4;17;;;
5031;без названия;»;(пр);77;13;;1;1;;;
5032;Тых-Ях;»;»;52;42;;3;12;;;
5033;Мал. Салым;»;»;31;269;2900;20;90;;;
5034;без названия;Мал. Салым;»;259;10;;3;13;;;
5035;Сагыт-Ях;Мал. Салым;(пр);243;24;;15;60;;;
5036;Савь-Ях;»;»;194;72;492;47;165;;;
5037;Чунч-Ега;»;(лв);118;39;;2;11;;;
5038;Ай-Ега;»;(пр);87;48;;4;19;;;
5039;Камчинская;»;»;70;59;444;8;28;;;
5040;Нарым-Ега;Камчинская;»;34;10;;3;5;;;
5041;протока Бол. Юганская;Бол. Салым;»;9;166;;—;—;;;
5042;Бол. Репь-Еган;протока Бол. Юганская;(лв);148;25;;2;13;;;
5043;протока Захаркина;протока Бол. Юганская;(пр);135;20;;—;—;;;
5044;Каркатеевсксая;»;(лв);128;23;;3;12;;;
5045;Мал. Варь-Еган;»;»;121;22;;3;15;;;
5046;протока Андрюшкина;протока Бол. Юганская;(пр);116;43;;—;—;;;
5047;Бол. Варь-Еган;»;(лв);114;36;;1;6;;;
5048;без названия;Бол. Варь-Еган;(пр);29;10;;—;—;;;
5049;Пойк;протока Бол. Юганская;(лв);85;60;575;18;80;;;
5050;без названия;Пойк;»;34;10;;2;8;;;
5051;Мохнот-Ега;»;(пр);24;20;;2;7;;;
5052;протока Невринг;протока Бол. Юганская;(пр);79;33;;—;—;;;
5053;протока Горная Репь-Ега;»;(лв);19;48;;—;—;;;
5054;Горная;протока Горная Репь-Ега;(пр);17;29;;2;7;;;
5055;протока без названия;протока Бол. Юганская;(лв);14;13;;—;—;;;
5055a;протока Бол. Салмынская;Обь;(лв);1250;64;;-;-;;;
5056;протока Игорная;протока Бол. Салмынская;(пр);24;23;;—;—;;;
5057;протока Сахалинская;протока Игорная;»;19;21;;—;—;;;
5058;протока Мал. Березовая;протока Бол. Салмынская;(лв);12;46;;—;—;;;
5059;Бол. Валыс-Ях;протока Мал. Березовая;(лв);36;57;430;4;15;;;
5060;Алекинская;»;»;31;43;;4;10;;;
5061;протока Старица;Обь;»;1239;20;;—;—;;;
5062;без названия;протока Старица;»;20;13;;—;—;;;
5063;протока без названия;»;»;9;12;;—;—;;;
5064;протока Нялинская;Обь;(пр);1217;22;;—;—;;;
5065;протока Лабытвор;протока Нялинская;»;8;64;;—;—;;;
5066;Шайтанка;Протока Лабытвор;»;64;10;;5;16;;;
5067;Балинская;»;»;59;65;614;9;34;;;
5068;Еловая;Балинская;(лв);36;13;;1;4;;;
5069;Каменная;»;»;34;15;;3;8;;;
5070;без названия;»;(пр);25;10;;3;6;;;
5071;без названия;»;(лв);13;18;;—;—;;;
5072;протока Мал. Васькина;Протока Лабытвор;(пр);39;25;;—;—;;;
5073;без названия;»;»;31;14;;—;—;;;
5074;Васькина;»;»;27;34;;5;18;;;
5075;протока Северная;»;(лв);15;23;;—;—;;;
5076;протока Каменная;»;(пр);12;11;;—;—;;;
5077;Ев-Ега;протока Каменная;»;8;108;632;21;87;;;
5078;без названия;Ев-Ега;(лв);56;18;;3;5;;;
5079;протока Каменная;»;(пр);5;12;;—;—;;;
5080;Бусарова;Протока Лабытвор;»;9;12;;1;1;;;
5081;протока Соспол;Обь;»;1209;17;;—;—;;;
5082;протока без названия;»;»;1201;19;;—;—;;;
5083;протока без названия;»;»;1175;20;;—;—;;;
5084;Назым;»;»;1172;422;15200;101;479;6089;535;554
5085;без названия;Назым;(лв);410;11;;4;14;;;
5086;Янгыт-Юган;»;»;404;26;;3;12;;;
5087;Кутоп-Назым;Назым;(пр);389;35;;13;62;;;
5088;Рапси-Юган;»;»;382;33;;15;51;;;
5089;Омрась-Юган;»;(лв);375;15;;4;9;;;
5090;Ногор-Юган;»;(пр);367;22;;5;23;;;
5091;Ай-Хут-Юган;»;(лв);359;19;;4;14;;;
5092;Хул-Юган;»;(пр);348;47;;17;57;;;
5093;Паннэ-Юган;»;»;295;12;;3;12;;;
5094;Ун-Паннэ-Юган;Паннэ-Юган;(лв);12;12;;7;31;;;
5095;Ай-Паннэ-Юган;»;(пр);12;13;;1;2;;;
5096;Вый-Вар;Назым;(лв);286;52;549;20;81;;;
5097;Ун-Вый-Вар;Вый-Вар;»;52;18;;4;8;;;
5098;Ай-Вый-Вар;»;(пр);52;12;;2;5;;;
5099;Маранги-Юган;»;(лв);9;16;;3;14;;;
5100;Хутын-Юган;Назым;»;278;13;;2;5;;;
5101;Тать-Юган;»;(пр);266;78;658;2;9;;;
5102;Юкерлы-Юган;Тать-Юган;»;63;17;;3;17;;;
5103;Тать-Юган-Егарт;»;(лв);61;5;;5;18;;;
5104;Ун-Южинг-Юган;»;(пр);52;17;;5;18;;;
5105;Ай-Южинг-Юган;Тать-Юган;(пр);46;13;;1;2;;;
5106;без названия;;(лв);35;13;;1;3;;;
