id;river_full_name;river_dest;side;dest_from_end;length;watershed_area;ten_km_trib_amount;ten_km_trib_sum_len;lakes_amount;lakes_sum_area;table3_id
I. Бассейн р. Оби от впадения р. Алея до устья р. Томи;;;;;;;;;;;
251;Бориха;»;»;24;15;;19;30;;;
252;Русянка;»;(лв);22;11;;16;13;;;
253;Тараба ;Чумыш;»;345;70;1080;9;29;;;168
254;Топко;Тараба;»;42;13;76.2;1;1;;;
255;Котлянка;»;(пр);33;18;81;—;—;;;
256;Хараба;»;»;10;60;603;9;28;;;
257;Каменка;Хараба;»;18;42;225;4;6;;;
258;Поперечный;Каменка;(лв);13;13;49.9;2;2;;;
259;Петрушиха;Чумыш;»;314;17;91.6;2;10;;;
260;Налобиха ;»;»;309;16;;1;1;;;
261;Сунгай  (Колбиха);»;(пр);305;103;1480;265;293;;;169
262;Ветловой Сунгай;Сунгай;(лв);85;12;;99;86;;;
263;Большая;»;»;80;10;;70;56;;;
264;Сунгаенок (Сунгаенок-Черновой);»;»;68;15;;40;45;;;
265;Таловка;Сунгаенок;»;3;11;;11;8;;;
266;Алтай;Сунгай;(пр);59;11;;24;19;;;
267;Мишиха (Север. Мишиха);Сунгай;(пр);40;28;213;100;125;;;
268;Колбиха;Мишиха;(лв);17;11;;18;16;;;
269;Березовка;»;»;15;10;;20;18;;;
270;Жуланиха;»;(пр);7;13;;6;9;;;
271;Чудотвориха;Сунгай;(лв);29;15;;16;14;;;
272;Потаскуй ;»;»;19;33;353;33;67;;;
273;Хмелевка;Потаскуй;(пр);19;12;;19;22;;;
274;Каменка;»;(лв);11;24;;5;6;;;
275;Моховая;Каменка;»;12;14;;1;1;;;
276;Козловка;Потаскуй;(пр);1;13;;4;4;;;
277;Мостовая;Сунгай;(пр);10;45;321;20;38;;;
278;Лариха;Мостовая;(лв);17;11;;2;3;;;
279;Бороушка (Боровушка) ;»;(пр);14;18;;3;4;;;
280;протока Стар. Сунгай;Сунгай (Колбиха);(лв);2;14;;;;;;
281;Большегорская (Белоглинка);Чумыш;»;294;30;248;4;6;;;
282;Максариха;Большегорская;(пр);18;13;60;1;8;;;
283;Малогорская;»;(лв);8;19;78.1;1;1;;;
284;Камышенка ;Чумыш;»;285;24;86;2;2;;;
285;Максариха;»;(пр);271;10;;1;1;;;
286;Крутая (Крутиха) ;»;(лв);265;28;117;3;9;;;
287;Камышенка;»;»;261;27;125;1;2;;;
288;Козуиха;Камышенка;»;14;11;33.9;1;2;;;
289;Аламбай (Степной Аламбай) ;Чумыш;(пр);260;140;1960;295;376;;;170
290;без названия;Аламбай;»;121;10;;21;29;;;
291;Таловка;»;(лв);103;19;77.4;103;102;;;
292;Ингара;»;(пр);81;36;149;120;152;;;
293;Боровлянка;»;(лв);57;18;113;52;82;;;
294;Комарчиха;Аламбай;(пр);50;11;;6;13;;;
295;Аламбай (Лесной Аламбай, Бол. Мунгай);»;»;50;68;718;152;230;;;
296;Мулевка;Аламбай (Бол. Мунгай);(лв);70;12;;11;21;;;
297;Березовая;»;(пр);43;26;;74;98;;;
298;Мунгай (Мал. Мунгай);Аламбай (Лесной Аламбай);(пр);12;29;170;102;135;;;171
299;Старица;Мунгай;(лв);11;10;;26;26;;;
