id;river_full_name;river_dest;side;dest_from_end;length;watershed_area;10km_trib_amount;10km_trib_sum_len;lakes_amount;lakes_sum_area;table3_id;;;;;
Бассейн р. Бия;;;;;;;;;;;
237;без названия;Калбакая;»;29;12;;5;6;;;
238;без названия;»;(лв);23;12;;2;3;;;
239;Узун-Оюк;Башкаус;»;171;25;;2;5;;;
240;Мад. Кокури;Узун-Оюк;(пр);6;13;;3;8;;;
241;без названия;»;(лв);3;11;;1;1;;;
242;Кумурлу;Башкаус;(пр);166;33;;22;51;;;
243;Каялу;Кумурлу;»;14;16;;7;18;;;
244;Салжек (Солмек);Башкаус;(лв);162;13;;3;5;;;
245;без названия;»;(пр);157;15;;10;21;;;
246;Ильдугем;»;(лв);150;28;;17;54;;;
247;без названия;Ильдугем;»;14;11;;4;9;;;
248;Артлаш (Артлош);Башкаус;(пр);149;30;;39;85;;;
249;Иолду;Башкаус;(пр);137;24;;20;40;;;
250;Ильдугем;»;(лв);137;35;;14;34;;;
‘251;без названия;Ильдугем;(пр);13;13;;5;18;;;
252;Верх. Ясатер;»;(лв);9;20;;10;26;;;
253;Ясатер;»;»;6;13;;8;11;;;
254;Кара-Тош;Башкаус;(пр);131;20;;11;33;;;
255;Саратан;»;»;122;20;;6;20;;;
256;без названия;Саратан;(лв);12;12;;3;11;;;
257;без названия;»;»;6;14;;1;1;;;
258;Атуркол;Башкаус;(пр);114;14;;10;31;;;
259;Рахомысты;»;(лв);112;26;;21;60;;;
260;Келескелу;»;»;108;20;;13;35;;;
261;Сорулу;»;»;107;11;;—;—;;;
262;Мал. Улаган;»;(пр);95;19;;4;17;;;
263;Колдинголь;Мал. Улаган;»;7;12;;—;—;;;
264;Бол. Улаган;Башкаус;»;90;54;660;15;39;40;7,84;
265;Балыктуюль;Бол. Улаган;»;15;16;;6;16;;;
266;Кубадру;Башкаус;(лв);85;43;;24;55;;;
267;без названия;Кубадру;»;29;12;;11;25;;;
268;Кысхыштубек;»;»;12;23;;10;21;;;
269;Сары-Ачек;»;»;10;17;;9;20;;;
270;Кара-Кудюр;Башкаус;»;77;39;;17;64;;;
271;Чаготор;Кара-Кудюр;»;16;11;;5;13;;;
;Малые притоки оз.Сару-лу-Коль;;;;;;6;22;;;
272;Ян-Паспарта;Башкаус;(пр);63;16;;12;30;;;
273;Аспатты;»;(лв);54;28;;18;51;;;
274;Джундук;»;»;51;15;;10;26;;;
275;Тускуль;»;»;42;25;;18;45;;;
276;без названия;Тускуль;(пр);15;11;;5;10;;;
277;без названия;»;»;13;12;;3;3;;;
278;без названия;без названия №277;(лв);1;10;;1;3;;;
279;Оныш;Башкаус;(пр);35;32;;23;58;;;
280;Кузери;Оныш;(лв);4;15;;9;16;;;
281;Казылгах;Башкаус;(пр);27;11;;4;10;;;
282;Огозо;»;(лв);25;11;;11;26;;;
283;Коволдут;»;(пр);19;13;;1;1;;;
284;Караева (Караеза);»;(лв);18;17;;8;14;;;
285;Чебдар;»;»;8;50;902;39;107;72;2,34;
286;Уйкарташ;Чебдар;»;20;27;;33;90;;;
287;Тайтыин;»;(пр);19;19;;13;43;;;
288;без названия;»;(лв);18;20;;15;44;;;
289;Караган;»;»;4;19;;8;18;;;
290;Кайру;Чулышман;(пр);13;31;;16;38;;;
291;Ачелман;»;(лв);7;12;;2;6;;;
292;Пожа (Божа);Ачелман;»;2;10;;9;14;;;
293;Бол. Чили;оз. Телецкое;;—;48;;102;148;;;
294;Талдокуль;Бол. Чили;(пр);35;12;;6;9;;;
295;Мал. Чили;»;(лв);15;11;;31;29;;;
296;Энмис;»;(пр);12;14;;11;14;;;
297;без названия;»;»;7;12;;5;13;;;
298;Мал. Чили (Арча);оз. Телецкое;;—;19;;45;67;;;
299;Колдор;оз. Телецкое;;—;23;;50;82;;;
300;Ижун;Колдор;(пр);9;11;;39;40;;;
301;Самыш;оз. Телецкое;;—;30;;129;120;;;
302;Лев. Самыш;Самыш;(лв);210;11;;34;25;;;
303;Иогач (Бол. Тулгуль) ;оз. Телецкое;;—;34;;172;174;;;
;Малые притоки оз. Телецкого;;;;;;115;204;;;
;Малые водотоки бессточных впадин в бассейне р. Бия;;;;;;60;80;;;
Бассейн р. Катуни;;;;;;;;;;;
